Para. #,Sent. #,Subject,Objects,Verbs
1,1,That ,,'s
1,2,n't ,,
1,3,He ,press it,do get do get
1,4,It ,,'s
1,5,And ,you respect,tell 'm
1,6,They ,something,
1,7,They to want ,,want work want make
1,8,I ,people,love
1,9,So ,,'s
1,10,With that said ,job,say head do
1,11,The world ,us,collapse 've cause
1,12,Our president ,agenda it,use think use want know
1,13,In any event ,,break
1,14,Politicians ,,
1,15,They ,,
1,16,And ,,'s end
1,17,And ,,'m 'm
1,18,And ,,'m
1,19,Because they the let ,president,let get
1,20,You ,this,see 're go do 're go
1,21,Nothing ,,nothing happen happen
1,22,You ,,look
1,23,A total and by the catastrophe ,,kick go
1,24,People ,shops,close
1,25,Doctors ,business,quit
1,26,I ,friend,'s
1,27,He said ,accountants patients,say
1,28,And ,business that,need 's 's go close
1,29,And ,,
1,30,But ,,'s happen
1,31,I ,websites,
1,32,They ,,'re
1,33,Now ,,
1,34,It ,,
1,35,And ,,think lie mean prosecute
1,36,Does ,anything,do
1,37,And ,what,do
1,38,He about the lied ,,lie lie
1,39,You ,plan,keep
1,40,And ,,'ve
1,41,That ,,'s
1,42,I ,location it,do say go
1,43,But ,this,hear
1,44,And ,,'s
1,45,It ,,'s
1,46,Your deductibles ,,go
1,47,You ,coverage,'re go get 're hit 're go get
1,48,And ,plans,love love do
1,49,So ,,'s
1,50,And ,Obamacare,repeal replace
1,51,And ,it,do fast talk
1,52,Now ,fence,build
1,53,And ,,'s get
1,54,Who ,,build
1,55,I ,what,build 's do
1,56,I ,buildings fences,build build build
1,57,Fences ,me,believe
1,58,I ,,saw walk
1,59,They ,,'re walk
1,60,The military ,,stand hold walk come
1,61,It ,,
1,62,It ,,
1,63,It ,,
1,64,And ,best,do
1,65,We that are have ,people,
1,66,You ,terrorists,
1,67,You ,terrorists,
1,68,You ,anything,come
1,69,We ,anything,do do
1,70,So ,border,say run win start build
2,1,Again ,nothing,talk do
2,2,Everything ,,
2,3,What ,,happen
2,4,I ,time,get sue
2,5,I ,business,run
2,6,You ,,know 've say 's
2,7,I ,deals,do
2,8,Almost of all ,,
2,9,You ,statements,see file
2,10,I ,,mean see
2,11,But ,numbers,'ve say say 's do run run let
2,12,Because you 've so you 've so you 've so Obama done ,what people,'ve do 've beat 've create do do
2,13,He ,deal,do
2,14,He ,deal,do
2,15,And ,house,do
2,16,He ,,get
2,17,But ,e-mails you,tell
2,18,the e-mails ,,lose lose
2,19,If you were in my world ,,know lose lose
2,20,So ,,find
2,21,They ,border,talk talk talk stop 's
2,22,me ,border me something,believe do
2,23,But ,,talk
2,24,And ,order president,do
2,25,He ,it anything,do let come do
2,26,Why ,this judgment it process that,do go know go go 's 's say say 'm go approve do go get start
2,27,Instead they a weak that probably the it 's have ,lawsuit six,'s finish know go forget
2,28,We ,,destroy
2,29,So ,something,do
2,30,I ,fighting,mean 've make fight
2,31,of the best I ever One ,me,do respect
2,32,And ,them,know
2,33,And they say ,,say believe 're get
2,34,We ,,believe
2,35,They ,,tell
2,36,Now ,speech,do know 'm go go make
2,37,But ,,tell
2,38,And ,goods,sell mean sell do know 've watch 's happen
2,39,The Euro China ,,go
2,40,I ,what guts,think do 're do
2,41,They ,,devalue
2,42,And ,what product,'s go do make sell 's go make compete
2,43,And ,,'re get
2,44,And ,it,do feel 're do
2,45,But ,devaluation,watch
2,46,I ,Euro,mean devalue
2,47,And ,,hear get sound
2,48,You it 's of those know ,,know 's sound
2,49,Be ,,
2,50,Be ,,
2,51,Because we 're just to and more to these foreign going ,what business,'re go lose know do
2,52,They ,,set
2,53,Do ,thing,do forget
2,54,China ,,become
2,55,That ,,think go happen
2,56,It ,,
2,57,So ,,happen 's
2,58,Now ,$,spend
2,59,We ,nothing,get
2,60,They ,us,do respect do care
2,61,Until they their and call started ,ass us,start get kick come help
2,62,We ,you,want
2,63,By the way ,,know form
2,64,They ,oil,take
2,65,And ,Trump I oil,know love say keep
2,66,So ,oil,
2,67,And the that does n't have ,,do go take
2,68,So ,nothing,get
2,69,We ,what trillion thousands,lose do
2,70,I ,streets warriors,mean walk see
2,71,And ,vets people military,help help help build
2,72,But ,it,do do fast
2,73,We ,people,
2,74,They ,what clue people,put 're do
2,75,It ,money,need
2,76,We ,country Security that,make rich do save
2,77,'Cause ,Security,'m do want cut
2,78,I ,country Medicare,'m want make rich afford
2,79,of the rid ,Security,get deserve 've pay
2,80,And ,Ryan lot Security lunch,like like talk know cut eat
2,81,It ,it military,'s 're go win 've get make afford afford
2,82,Now ,changer,
2,83,We ,,do get get
2,84,We ,weapon,let get
2,85,We ,it,do
2,86,Ca ,it,do
2,87,We ,,let happen
2,88,You in the old know ,other,know say pull let fight
2,89,Here ,,
2,90,We ,Syria people,'re fight want overturn
2,91,We ,government ISIS,'re fight want overturn
2,92,Maybe ,one,let fight take remain
2,93,ISIS ,Syria them,fight bomb want fall
2,94,There ,,
2,95,But ,much,think
2,96,Nuclear today ,rifles,'s
2,97,You ,sections Coast things,take take take
2,98,And ,,
2,99,We ,this,'ve
2,100,We ,amounts situation,'re spend
2,101,We ,thing,'re try do
2,102,We ,leadership us,respect
2,103,You ,people,know respect 's 're go find
2,104,The same thing ,,happen
2,105,And I never that until a or so knew ,Afghanistan wealth,know
2,106,And ,minerals,'re fight take
2,107,They ,it,'re take
2,108,So ,it,'re fight take look say
2,109,It ,,'s
3,1,So ,infrastructure,rebuild
3,2,If we n't The other in do ,day,do collapse
3,3,Bridges ,all,collapse
3,4,The on and the reports ,,'s happen
3,5,I ,jobs,go go do
3,6,I ,,go
3,7,I ,,go
3,8,They ,bridge,build
3,9,They ,Bridge bridges,make
3,10,They ,things,'re build see
3,11,They ,cutter airports which qatar,build like say 've say keep
3,12,But ,likes airport,'re build 're build complete see see
3,13,And ,potholes,come
3,14,The place ,,fall
3,15,You ,floor,go 's 's fall
3,16,And ,hole it,replace
3,17,So ,asphalt floor,put
3,18,This ,,
3,19,And ,Dubai thing,leave 've see
3,20,In fact ,Trump,say
3,21,I ,,say 's 're
3,22,But you at and you at Kennedy and you at our generally look ,,look look look look 're crumble
3,23,You ,example,look give
3,24,And ,what highways,go say ride make
3,25,You ,,know rail
3,26,The that of like this ones ,,demonstrate rust
3,27,you ever than like which is n't or or the if it too Did ,bent feet,see corrode get
3,28,Now ,thing,'ve sell
3,29,Why ,something them,do stop get work
3,30,Because they do n't know ,,do know do know 's happen
3,31,Somebody ,lot,make
3,32,They ,,do know happen
3,33,So ,,make
3,34,We ,country,rebuild
3,35,And ,way,go
3,36,We ,money,owe
3,37,Now ,lot it,owe
3,38,We ,it,owe
3,39,They ,debt,'re hold
3,40,And ,money,give
3,41,We ,money countries subsidies,owe 're give
3,42,I ,thousands,order mean know come see come bid
3,43,It 's South and whenever they a we the we the we our Korea ,battleships airplanes problem them destroyers,'s send send send 're go protect
3,44,What ,us What,do pay
3,45,Why ,what us,pay do
3,46,I ,time,'s
3,47,You ,,know 's
3,48,Why are n't something to they ,something,do justify go
3,49,Now ,election,come
3,50,We ,election,come
3,51,And ,people,
3,52,Nobody ,Trump,
3,53,We ,people,
3,54,' It ,,run fail
3,55,He ,,fail
3,56,I ,him,mean like
3,57,like him the 47 that he Look ,him statement,dislike make 's go
3,58,The ,,'s go
3,59,What you they 're to oh do ,time that,do think 're go say bring
3,60,It ,,'s do work
3,61,But ,,choke
3,62,Something ,,something happen
3,63,He ,election,win
3,64,And ,something,let tell
3,65,That ,deal,close
3,66,I ,many ah it,know get go close
3,67,Or ,three-footer tournament,sink win
3,68,And ,,
3,69,Most people ,,mean
3,70,You ,chance president,give think win beat
3,71,I ,,do
3,72,I ,,think beat 's come say
3,73,So ,Romney,
3,74,He ,,choke
3,75,You ,Bush,
3,76,The last we thing ,,need
3,77,Now ,statement it thing,make say know copy
3,78,I ,statement,accuse copy 's
3,79,But ,it,say
3,80,I ,it,say mean
3,81,The last we thing ,,need
3,82,Now ,,'s 's 's
3,83,But ,,'s
3,84,He ,,'s
3,85,Do ,statement,do forget remember come
3,86,I ,,say
3,87,You 've these coming got ,people,'ve get come
3,88,They ,,'re come
3,89,They ,,'re come 's love
3,90,And ,Obama,run get remember give
3,91,I ,Obama,give
3,92,'Cause Abraham home back from the Lincoln ,election home couple,come win go
3,93,And ,Roberts,appoint
3,94,And ,Roberts,want
3,95,And ,Obamacare,approve believe
3,96,So ,Bush,
3,97,And ,,'s go lose 's go win
3,98,Mitt So ,two,
3,99,That ,,'s
3,100,That ,,'s
